b0,b1,b2,b3,z.sd,phi.ROS,z
3.05311,-0.736837,0.710937,0.119439,1.06074,11.599,0.085233896
3.0161,-0.651764,0.667031,0.0260597,0.959441,8.28807,-1.997032078
3.02315,-0.724622,0.535392,-0.0238588,0.915953,10.037,0.859063662
3.03998,-0.710487,0.773029,-0.00680041,1.00824,9.92955,-1.472844369
2.97623,-0.67607,0.65373,0.0128233,0.931983,9.96356,-0.74393564
3.0052,-0.592448,0.519669,0.0592105,0.987158,9.81502,-0.602894131
2.95232,-0.612189,0.617775,0.162248,0.986036,11.5458,0.566664935
2.94691,-0.647527,0.744137,0.183097,0.884725,11.542,-0.77282249
2.93209,-0.575774,0.701426,0.270317,0.912298,8.19535,0.183316517
2.95074,-0.595345,0.703971,0.183556,1.00245,8.57798,-0.480680269
2.90486,-0.582037,0.574457,0.345388,0.952689,7.64604,0.198821398
2.95689,-0.565443,0.635178,0.474699,0.926414,8.74325,0.821510052
2.95255,-0.595365,0.63963,0.423564,0.880574,7.79446,-0.246641857
2.97653,-0.456788,0.716948,0.226856,1.07814,8.11831,-0.121837351
2.906,-0.56876,0.712221,0.113947,0.931392,8.53581,-0.278113287
2.75902,-0.645509,0.657159,0.252336,0.872616,9.51023,1.832900935
2.79079,-0.714174,0.613221,0.133256,0.861741,7.69626,0.22821988
2.74305,-0.755576,0.566324,0.145631,0.845056,7.57449,1.067706848
2.8071,-0.716912,0.684729,0.077784,0.877176,8.94915,-1.318024412
2.92043,-0.722662,0.70815,0.0207233,0.865732,9.98567,0.4609823
2.8775,-0.700238,0.634678,0.0945733,0.927746,9.29937,-1.33640456
2.83788,-0.666685,0.588541,0.0599087,1.0015,8.93056,-0.922376006
2.79155,-0.659581,0.714588,0.100967,1.04924,8.47877,-0.359914011
2.85604,-0.680315,0.711499,-0.0592306,0.810513,10.9327,-0.251472172
3.03583,-0.707888,0.73374,0.0075857,0.852507,12.3697,0.707458357
3.00121,-0.734341,0.90221,-0.0890406,0.924224,11.2409,0.480407164
2.96832,-0.684511,0.715231,-0.026826,0.983258,16.0624,1.828162661
2.96053,-0.644141,0.704403,0.0486251,1.07935,11.6009,-0.137947381
2.84139,-0.466429,0.761482,0.00519938,0.952763,9.20536,-1.237787229
2.86607,-0.64541,0.713281,0.19902,1.0044,10.1672,-0.87108016
2.80332,-0.663745,0.786168,0.16937,0.894829,8.25857,0.342965562
2.7636,-0.601786,0.612143,0.246458,0.912303,7.78681,-0.117805652
2.95358,-0.577496,0.676565,0.0548709,0.879289,9.97344,0.297780939
3.0462,-0.557426,0.770925,-0.0626534,1.06818,9.25644,0.646319765
3.05107,-0.571011,0.712914,-0.0409711,0.937968,9.24646,-1.515802863
2.93975,-0.535687,0.740271,0.147685,1.0053,9.0267,-0.083894682
